stt,project_id,project_name,district,latitude,longitude,developer,handover_status,handover_year,is_handed_over,price_min_mil_m2,price_max_mil_m2,price_avg_mil_m2,area_min_m2,area_max_m2,layout_types,mgmt_fee_vnd_m2,amenities,payment_policy,grace_period_months,inventory_link,updated_at,risk_note
1,PRJ_01,The Grand Hanoi,Hoàn Kiếm,21.0235,105.8521,Masterise Homes (The Ritz-Carlton),Bàn giao 2025 - 2026,2025,False,564.0,932.0,748.0,98.0,215.0,1PN - 3PN,150000,"TTTM, Bể bơi vô cực, Dịch vụ 6 sao","Thanh toán tiến độ linh hoạt, hỗ trợ chuyển nhượng",0,sheets.link/tghn,2026-08-20,Phân khúc Branded Residences siêu sang
2,PRJ_02,Vinhomes Metropolis,Ba Đình,21.0315,105.8123,Vinhomes (Vingroup),Đã bàn giao,2019,True,100.0,130.0,115.0,50.0,146.0,1PN - 4PN,18700,"Vinschool, Vinmart, Bể bơi cao cấp","Chuyển nhượng thứ cấp, vay ngân hàng 70%",0,sheets.link/vh-metro,2026-08-15,"Sẵn sổ đỏ, quỹ căn thứ cấp"
3,PRJ_03,Starlake Tây Hồ Tây,Bắc Từ Liêm,21.061,105.795,Daewoo E&C,Đã bàn giao,2021,True,100.0,140.0,120.0,90.0,154.0,2PN - 4PN,14000,"Trường quốc tế, Bể bơi, Siêu thị, Hồ cảnh quan","Hỗ trợ thủ tục chuyển nhượng sổ đỏ, vay 70%",0,sheets.link/starlake,2026-08-18,"Sẵn sổ đỏ, khu đô thị chuẩn quốc tế"
4,PRJ_04,Heritage West Lake,Tây Hồ,21.0701,105.8115,CapitaLand,Đã bàn giao,2024,True,140.0,180.0,160.0,94.0,328.0,2PN - 4PN,15600,"Bể bơi vô cực nước nóng, TTTM, Vườn thần thoại","Thanh toán nhận nhà, HTLS gói thứ cấp",0,sheets.link/heritagewl,2026-08-22,"Bàn giao một phần, phân khúc cao cấp"
5,PRJ_05,The Matrix Premium,Nam Từ Liêm,21.0135,105.7678,MIK Group,Đang mở bán,2027,False,140.0,160.0,150.0,85.0,150.0,2PN - 4PN,16000,"Trường học, Smart home, Bể bơi tầng cao",Chiết khấu 8% sớm; HTLS 0% trong 24 tháng,24,sheets.link/matrixprem,2026-08-25,Đang thi công phần thân
6,PRJ_06,Masteri West Heights,Nam Từ Liêm,21.006,105.748,Masterise Homes,Đã bàn giao,2024,True,70.0,90.0,80.0,28.0,120.0,Studio - 3PN,25520,"Trường liên cấp, Bể bơi tầng thượng, Rạp phim","Nhận nhà ở ngay, gói vay ưu đãi 70% GTCH",0,sheets.link/mwh-smc,2026-08-19,"Bàn giao 2023 - 2024, sẵn quỹ căn ở ngay"
7,PRJ_07,Lumière EverGreen,Nam Từ Liêm,21.005,105.749,Masterise Homes,Đang mở bán,2026,False,80.0,103.0,91.5,36.0,100.0,Studio - 3PN,25520,"Bể bơi 4 mùa trong nhà, Trường học, Vườn ánh sáng",HTLS 0% đến khi nhận nhà; Chiết khấu 6.5%,18,sheets.link/lumiere-evg,2026-08-26,Chuẩn bàn giao Lumière cao cấp
8,PRJ_08,The Canopy,Nam Từ Liêm,21.007,105.747,Vinhomes / GIC,Đang hoàn thiện,2025,False,65.0,85.0,75.0,28.0,90.0,Studio - 3PN,17600,"Co-working space, Bể bơi phong cách Singapore",Tiến độ giãn 3 năm; Ân hạn nợ gốc 24 tháng,24,sheets.link/thecanopy,2026-08-21,Bàn giao trong năm 2025
9,PRJ_09,Imperia Smart City,Nam Từ Liêm,21.008,105.746,MIK Group,Đã bàn giao,2023,True,60.0,80.0,70.0,28.0,76.0,Studio - 3PN,17600,"Bể bơi resort, Công viên trung tâm, Trường học",Giao dịch sang tên sổ hồng; Hỗ trợ vay bank,0,sheets.link/imperia-smc,2026-08-12,Đã có sổ hồng từng căn
10,PRJ_10,Masteri Grand Avenue,Đông Anh,21.104,105.845,Masterise Homes,Đang mở bán,2027,False,104.0,115.0,109.5,30.0,90.0,Studio - 3PN,20000,"TTTM, Sảnh Lounge sang trọng, Bể bơi, Trường học","Vốn tự có 20%, HTLS 0% lên tới 30 tháng",30,sheets.link/mga-cl,2026-08-26,Thuộc Vinhomes Global Gate Cổ Loa
